Instruction	Opcode	Size	Timing Z80
EX DE,HL	EB	1	4
EXX	D9	1	4
HALT	76	1	4
IM 0	ED 46	2	8
IM 1	ED 56	2	8
IM 2	ED 5E	2	8
IN A,(C)	ED 78	2	12
IN A,(n)	DB n	2	11
IN B,(C)	ED 40	2	12
IN C,(C)	ED 48	2	12
IN D,(C)	ED 50	2	12
IN E,(C)	ED 58	2	12
IN F,(C)	ED 70	3	12
IN H,(C)	ED 60	2	12
IN L,(C)	ED 68	2	12
INC (HL)	34	1	11
INC (IX+o)	DD 34 o	3	23
INC (IY+o)	FD 34 o	3	23
INC A	3C	1	4
INC B	4	1	4
INC BC	3	1	6
INC C	0C	1	4
INC D	14	1	4
INC DE	13	1	6
INC E	1C	1	4
INC H	24	1	4
INC HL	23	1	6
INC IX	DD 23	2	10
INC IXp	DD 04+8*p	2	8
INC IY	FD 23	2	10
INC IYq	FD 04+8*q	2	8
INC L	2C	1	4
INC SP	33	1	6
IND	ED AA	2	16
INDR	ED BA	2	21/16
INI	ED A2	2	16
INIR	ED B2	2	21/16
JP (HL)	E9	1	4
JP (IX)	DD E9	2	8
JP (IY)	FD E9	2	8
JP C,nn	DA nn nn	3	10
JP M,nn	FA nn nn	3	10
JP NC,nn	D2 nn nn	3	10
JP nn	C3 nn nn	3	10
JP NZ,nn	C2 nn nn	3	10
JP P,nn	F2 nn nn	3	10
JP PE,nn	EA nn nn	3	10
JP PO,nn	E2 nn nn	3	10
JP Z,nn	CA nn nn	3	10
JR C,o	38 o	2	12/7
JR NC,o	30 o	2	12/7
JR NZ,o	20 o	2	12/7
JR o	18 o	2	12
JR Z,o	28 o	2	12/7
LD (BC),A	2	1	7
LD (DE),A	12	1	7
LD (HL),n	36 n	2	10
LD (HL),r	70+r	1	7
LD (IX+o),n	DD 36 o n	4	19
LD (IX+o),r	DD 70+r o	3	19
LD (IY+o),n	FD 36 o n	4	19
LD (IY+o),r	FD 70+r o	3	19
LD (nn),A	32 nn nn	3	13
LD (nn),BC	ED 43 nn nn	4	20
LD (nn),DE	ED 53 nn nn	4	20
LD (nn),HL	22 nn nn	3	16
LD (nn),IX	DD 22 nn nn	4	20
LD (nn),IY	FD 22 nn nn	4	20
LD (nn),SP	ED 73 nn nn	4	20
LD A,(BC)	0A	1	7
LD A,(DE)	1A	1	7
LD A,(HL)	7E	1	7
LD A,(IX+o)	DD 7E o	3	19
LD A,(IY+o)	FD 7E o	3	19
LD A,(nn)	3A nn nn	3	13
LD A,I	ED 57	2	9
LD A,IXp	DD 78+p	2	8
LD A,IYq	FD 78+q	2	8
LD A,n	3E n	2	7
LD A,r	78+r	1	4
LD A,R	ED 5F	2	9
LD B,(HL)	46	1	7
LD B,(IX+o)	DD 46 o	3	19
LD B,(IY+o)	FD 46 o	3	19
LD B,IXp	DD 40+p	2	8
LD B,IYq	FD 40+q	2	8
LD B,n	06 n	2	7
LD B,r	40+r	1	4
LD BC,(nn)	ED 4B nn nn	4	20
LD BC,nn	01 nn nn	3	10
LD C,(HL)	4E	1	7
LD C,(IX+o)	DD 4E o	3	19
LD C,(IY+o)	FD 4E o	3	19
LD C,IXp	DD 48+p	2	8
LD C,IYq	FD 48+q	2	8
LD C,n	0E n	2	7
LD C,r	48+r	1	4
LD D,(HL)	56	1	7
LD D,(IX+o)	DD 56 o	3	19
LD D,(IY+o)	FD 56 o	3	19
LD D,IXp	DD 50+p	2	8
LD D,IYq	FD 50+q	2	8
LD D,n	16 n	2	7
LD D,r	50+r	1	4
LD DE,(nn)	ED 5B nn nn	4	20
LD DE,nn	11 nn nn	3	10
LD E,(HL)	5E	1	7
LD E,(IX+o)	DD 5E o	3	19
LD E,(IY+o)	FD 5E o	3	19
LD E,IXp	DD 58+p	2	8
LD E,IYq	FD 58+q	2	8
LD E,n	1E n	2	7
LD E,r	58+r	1	4
LD H,(HL)	66	1	7
LD H,(IX+o)	DD 66 o	3	19
LD H,(IY+o)	FD 66 o	3	19
LD H,n	26 n	2	7
LD H,r	60+r	1	4
LD HL,(nn)	2A nn nn	5	16
LD HL,nn	21 nn nn	3	10
LD I,A	ED 47	2	9
LD IX,(nn)	DD 2A nn nn	4	20
LD IX,nn	DD 21 nn nn	4	14
LD IXh,n	DD 26 n	2	11
LD IXh,p	DD 60+p	2	8
LD IXl,n	DD 2E n	2	11
LD IXl,p	DD 68+p	2	8
LD IY,(nn)	FD 2A nn nn	4	20
LD IY,nn	FD 21 nn nn	4	14
LD IYh,n	FD 26 n	2	11
LD IYh,q	FD 60+q	2	8
LD IYl,n	FD 2E n	2	11
LD IYl,q	FD 68+q	2	8
LD L,(HL)	6E	1	7
LD L,(IX+o)	DD 6E o	3	19
LD L,(IY+o)	FD 6E o	3	19
LD L,n	2E n	2	7
LD L,r	68+r	1	4
LD R,A	ED 4F	2	9
LD SP,(nn)	ED 7B nn nn	4	20
LD SP,HL	F9	1	6
LD SP,IX	DD F9	2	10
LD SP,IY	FD F9	2	10
LD SP,nn	31 nn nn	3	10
LDD	ED A8	2	16
LDDR	ED B8	2	21/16
LDI	ED A0	2	16
LDIR	ED B0	2	21/16
MULUB A,r	ED C1+8*r	2	
MULUW HL,BC	ED C3	2	
MULUW HL,SP	ED F3	2	
NEG	ED 44	2	8
NOP	0	1	4
OR (HL)	B6	1	7
OR (IX+o)	DD B6 o	3	19
OR (IY+o)	FD B6 o	3	19
OR IXp	DD B0+p	2	8
OR IYq	FD B0+q	2	8
OR n	F6 n	2	7
OR r	B0+r	1	4
OTDR	ED BB	2	21/16
OTIR	ED B3	2	21/16
OUT (C),A	ED 79	2	12
OUT (C),B	ED 41	2	12
OUT (C),C	ED 49	2	12
OUT (C),D	ED 51	2	12
OUT (C),E	ED 59	2	12
OUT (C),H	ED 61	2	12
OUT (C),L	ED 69	2	12
OUT (n),A	D3 n	2	11
OUTD	ED AB	2	16
OUTI	ED A3	2	16
POP AF	F1	1	10
POP BC	C1	1	10
POP DE	D1	1	10
POP HL	E1	1	10
POP IX	DD E1	2	14
POP IY	FD E1	2	14
PUSH AF	F5	1	11
PUSH BC	C5	1	11
PUSH DE	D5	1	11
PUSH HL	E5	1	11
PUSH IX	DD E5	2	15
PUSH IY	FD E5	2	15
RES b,(HL)	CB 86+8*b	2	15
RES b,(IX+o)	DD CB o 86+8*b	4	23
RES b,(IY+o)	FD CB o 86+8*b	4	23
RES b,r	CB 80+8*b+r	2	8
RET	C9	1	10
RET C	D8	1	11/5
RET M	F8	1	11/5
RET NC	D0	1	11/5
RET NZ	C0	1	11/5
RET P	F0	1	11/5
RET PE	E8	1	11/5
RET PO	E0	1	11/5
RET Z	C8	1	11/5
RETI	ED 4D	2	14
RETN	ED 45	2	14
RL (HL)	CB 16	2	15
RL (IX+o)	DD CB o 16	4	23
RL (IY+o)	FD CB o 16	4	23
RL r	CB 10+r	2	8
RLA	17	1	4
RLC (HL)	CB 06	2	15
RLC (IX+o)	DD CB o 06	4	23
RLC (IY+o)	FD CB o 06	4	23
RLC r	CB 00+r	2	8
RLCA	7	1	4
RLD	ED 6F	2	18
RR (HL)	CB 1E	2	15
RR (IX+o)	DD CB o 1E	4	23
RR (IY+o)	FD CB o 1E	4	23
RR r	CB 18+r	2	8
RRA	1F	1	4
RRC (HL)	CB 0E	2	15
RRC (IX+o)	DD CB o 0E	4	23
RRC (IY+o)	FD CB o 0E	4	23
RRC r	CB 08+r	2	8
RRCA	0F	1	4
RRD	ED 67	2	18
RST 0	C7	1	11
RST 10H	D7	1	11
RST 18H	DF	1	11
RST 20H	E7	1	11
RST 28H	EF	1	11
RST 30H	F7	1	11
RST 38H	FF	1	11
RST 8H	CF	1	11
SBC A,(HL)	9E	1	7
SBC A,(IX+o)	DD 9E o	3	19
SBC A,(IY+o)	FD 9E o	3	19
SBC A,IXp	DD 98+p	2	8
SBC A,IYq	FD 98+q	2	8
SBC A,n	DE n	2	7
SBC A,r	98+r	1	4
SBC HL,BC	ED 42	2	15
SBC HL,DE	ED 52	2	15
SBC HL,HL	ED 62	2	15
SBC HL,SP	ED 72	2	15
SCF	37	1	4
SET b,(HL)	CB C6+8*b	2	15
SET b,(IX+o)	DD CB o C6+8*b	4	23
SET b,(IY+o)	FD CB o C6+8*b	4	23
SET b,r	CB C0+8*b+r	2	8
SLA (HL)	CB 26	2	15
SLA (IX+o)	DD CB o 26	4	23
SLA (IY+o)	FD CB o 26	4	23
SLA r	CB 20+r	2	8
SRA (HL)	CB 2E	2	15
SRA (IX+o)	DD CB o 2E	4	23
SRA (IY+o)	FD CB o 2E	4	23
SRA r	CB 28+r	2	8
SRL (HL)	CB 3E	2	15
SRL (IX+o)	DD CB o 3E	4	23
SRL (IY+o)	FD CB o 3E	4	23
SRL r	CB 38+r	2	8
SUB (HL)	96	1	7
SUB (IX+o)	DD 96 o	3	19
SUB (IY+o)	FD 96 o	3	19
SUB IXp	DD 90+p	2	8
SUB IYq	FD 90+q	2	8
SUB n	D6 n	2	7
SUB r	90+r	1	4
XOR (HL)	AE	1	7
XOR (IX+o)	DD AE o	3	19
XOR (IY+o)	FD AE o	3	19
XOR IXp	DD A8+p	2	8
XOR IYq	FD A8+q	2	8
XOR n	EE n	2	7
XOR r	A8+r	1	4
